n_qubits,batch_size,qulacs_time_s,scaluq_time_s,speedup,qulacs_throughput_sps,scaluq_throughput_sps,memory_mb
5,8,0.0058933470281772316,0.008114319333496193,0.7262897583842048,1357.4629088954805,985.9114081172183,0.03125
5,16,0.011466541676782072,0.008226430664459864,1.3938659601569678,1395.364047069001,1944.9504472363456,0.046875
5,32,0.02276433331038182,0.007964222323304663,2.8583246908828155,1405.7077606312414,4017.9692003778678,0.03125
5,48,0.03365597231701637,0.008643888984806836,3.893614595950121,1426.1956109267219,5553.056047384284,0.03125
5,64,0.0451794863329269,0.008624750305898488,5.238352964494351,1416.572103728339,7420.504678985343,0.03125
5,96,0.0668860556712995,0.00862352802262952,7.756228714718589,1435.276740966401,11132.334671851313,0.03125
5,128,0.09404524999748294,0.009445264004170895,9.956868326385996,1361.046942864481,13551.76519613184,0.03125
5,192,0.13226806898213303,0.010526402348962923,12.565363226417455,1451.5975131226544,18239.850010950428,0.046875
5,256,0.18002051365328953,0.011148736327110479,16.147167568716473,1422.0601575054004,22962.243656035043,0.453125
5,384,0.2675898609838138,0.013953152655934295,19.177734780247494,1435.031949970734,27520.66213772013,0.25
5,512,0.3563292639834496,0.016030527651309967,22.228168138578486,1436.8732847711908,31939.060967725592,0.171875
5,768,0.5394056666603623,0.04197220801142976,12.851496078392463,1423.7892693173587,18297.822211089308,2.796875
5,1024,0.7253070140141062,0.03153559734346345,22.999628201570896,1411.8159347899048,32471.241589221074,2.90625
8,8,0.013283569676180681,0.015431041654665023,0.8608342828343587,602.2477538056003,518.4355132358473,0.03125
8,16,0.026723860995844007,0.01664868100003029,1.60516385627158,598.7158817540721,961.0370935674057,0.03125
8,32,0.054361499341515206,0.01755483365074421,3.096668440330714,588.6519023135551,1822.8597682350244,0.03125
8,48,0.09238729168040057,0.017365861024397116,5.320052461009945,519.5519765429267,2764.0437714297786,0.03125
8,64,0.10583020834019408,0.01814723600788663,5.831753568102669,604.7422659725876,3526.7078673681303,0.03125
8,96,0.16038961097365245,0.019201986006616305,8.352761579890123,598.5425079419273,4999.482864268409,0.03125
8,128,0.21481202800835794,0.020616916997823864,10.419211952545163,595.8697992228804,6208.493734223722,0.03125
8,192,0.32045266666682437,0.023229708332413185,13.794950073466316,599.1524489313206,8265.278119402645,0.171875
8,256,0.42608859700461227,0.024005333330327023,17.74974715582538,600.8140133288497,10664.296824263782,0.03125
8,384,0.6457625553399945,0.035434736676203706,18.223997577316783,594.6458134256851,10836.823863231253,0.03125
8,512,0.8514790139937153,0.041705597327866904,20.41642054182432,601.3066576926569,12276.529598052086,0.09375
8,768,1.2811918890220113,0.058320486336015165,21.96812765998533,599.4418217760084,13168.614465509527,1.078125
8,1024,1.7065290833512943,0.06786865232667576,25.144584795012108,600.0483730339135,15087.967196860296,3.53125
10,8,0.028284805710427463,0.023564888649464894,1.2002944775667228,282.8373679459542,339.4881307950361,0.03125
10,16,0.05203333367050315,0.025037819345016032,2.0781895161673005,307.4951933950398,639.0332871854082,0.03125
10,32,0.10371297233117123,0.02563600034530585,4.045598803799434,308.5438521404936,1248.2446391392505,0.03125
10,48,0.15539127766775587,0.027659596991725266,5.617987771631062,308.8976467690125,1735.3832022339238,0.03125
10,64,0.20645444467663765,0.029487124663622428,7.001511576045108,309.99574797355876,2170.438817961634,0.03125
10,96,0.30986563898234937,0.03208198631182313,9.65855530173813,309.8116987584686,2992.3334255841028,0.03125
10,128,0.41421172201323014,0.03579152800375596,11.572898535367443,309.02070896948595,3576.2653102311724,0.03125
10,192,0.623587749665603,0.041216236364562064,15.12966259582515,307.89572133666735,4658.35837852198,0.03125
10,256,0.831633499978731,0.04826579167274758,17.23028818458805,307.8279073733167,5303.963555300924,0.03125
10,384,1.2793022083157364,0.06946063899279882,18.417656774628366,300.1636341311055,5528.310789651825,0.03125
10,512,1.8191858336601097,0.09347076368673395,19.46261870457256,281.44458390481304,5477.648623006456,0.453125
10,768,2.499922486662399,0.12225548598992948,20.44834607150737,307.20952513425436,6281.926686408676,1.125
10,1024,3.3067703889876916,0.16875280532985926,19.595350622610297,309.6677058105263,6068.047271856598,4.34375
